color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#1f618d,40.448157,223.133261,5.516525
#7d6608,17.934935,109.994867,6.132995
#ffff00,12.889536,74.262292,5.761440
#d7bde2,12.203448,70.958441,5.814622
#5d6d7e,10.999405,85.513492,7.774374
#008000,10.505684,74.806989,7.120621
#7e5109,9.010749,57.847666,6.419851
#eb984e,7.898835,55.359994,7.008628
#5dade2,7.759382,51.647641,6.656154
#f9e79f,6.572176,50.950071,7.752390
#ff8000,3.573484,24.491485,6.853671
#20b2aa,3.285826,25.351146,7.715304
#aed6f1,2.432842,14.190443,5.832867
#58d68d,1.848323,15.386546,8.324598
#f3d245,1.249370,9.837254,7.873772
