slice_file,color_hex,area_px,cross_section_area_um2,slice_volume_um3,slice_thickness_um
z_0001_449.000000.png,#008000,1184,0.625710,0.028157,0.045000
z_0001_449.000000.png,#1f618d,1615,0.853481,0.038407,0.045000
z_0001_449.000000.png,#5dade2,4153,2.194742,0.098763,0.045000
z_0001_449.000000.png,#7d6608,1604,0.847668,0.038145,0.045000
z_0001_449.000000.png,#f3d245,1452,0.767340,0.034530,0.045000
z_0002_450.015504.png,#008000,620,0.327652,0.014744,0.045000
z_0002_450.015504.png,#1f618d,1676,0.885718,0.039857,0.045000
z_0002_450.015504.png,#5dade2,4026,2.127626,0.095743,0.045000
z_0002_450.015504.png,#7d6608,1645,0.869335,0.039120,0.045000
z_0002_450.015504.png,#f3d245,1478,0.781081,0.035149,0.045000
z_0003_451.031008.png,#008000,613,0.323953,0.014578,0.045000
z_0003_451.031008.png,#1f618d,1683,0.889417,0.040024,0.045000
z_0003_451.031008.png,#5dade2,3916,2.069494,0.093127,0.045000
z_0003_451.031008.png,#7d6608,1587,0.838684,0.037741,0.045000
z_0003_451.031008.png,#f3d245,1292,0.682785,0.030725,0.045000
z_0004_452.046512.png,#008000,589,0.311270,0.014007,0.045000
z_0004_452.046512.png,#1f618d,1709,0.903158,0.040642,0.045000
z_0004_452.046512.png,#5dade2,3697,1.953759,0.087919,0.045000
z_0004_452.046512.png,#7d6608,1596,0.843440,0.037955,0.045000
z_0004_452.046512.png,#aed6f1,1,0.000528,0.000024,0.045000
z_0004_452.046512.png,#f3d245,1078,0.569692,0.025636,0.045000
z_0005_453.062016.png,#008000,573,0.302814,0.013627,0.045000
z_0005_453.062016.png,#1f618d,1772,0.936451,0.042140,0.045000
z_0005_453.062016.png,#5dade2,3477,1.837495,0.082687,0.045000
z_0005_453.062016.png,#7d6608,1571,0.830229,0.037360,0.045000
z_0005_453.062016.png,#aed6f1,2,0.001057,0.000048,0.045000
z_0005_453.062016.png,#f3d245,776,0.410094,0.018454,0.045000
z_0006_454.077519.png,#008000,551,0.291188,0.013103,0.045000
z_0006_454.077519.png,#1f618d,1823,0.963403,0.043353,0.045000
z_0006_454.077519.png,#5dade2,3185,1.683181,0.075743,0.045000
z_0006_454.077519.png,#7d6608,1592,0.841326,0.037860,0.045000
z_0006_454.077519.png,#aed6f1,1,0.000528,0.000024,0.045000
z_0006_454.077519.png,#f3d245,250,0.132118,0.005945,0.045000
z_0007_455.093023.png,#008000,485,0.256309,0.011534,0.045000
z_0007_455.093023.png,#1f618d,1894,1.000925,0.045042,0.045000
z_0007_455.093023.png,#5dade2,3095,1.635619,0.073603,0.045000
z_0007_455.093023.png,#7d6608,1581,0.835513,0.037598,0.045000
z_0007_455.093023.png,#aed6f1,1,0.000528,0.000024,0.045000
z_0007_455.093023.png,#f3d245,785,0.414850,0.018668,0.045000
z_0008_456.108527.png,#008000,475,0.251024,0.011296,0.045000
z_0008_456.108527.png,#1f618d,1872,0.989298,0.044518,0.045000
z_0008_456.108527.png,#5dade2,2859,1.510900,0.067990,0.045000
z_0008_456.108527.png,#7d6608,1625,0.858766,0.038644,0.045000
z_0008_456.108527.png,#aed6f1,1,0.000528,0.000024,0.045000
z_0008_456.108527.png,#f3d245,371,0.196063,0.008823,0.045000
z_0009_457.124031.png,#008000,471,0.248910,0.011201,0.045000
z_0009_457.124031.png,#1f618d,1872,0.989298,0.044518,0.045000
z_0009_457.124031.png,#5dade2,2849,1.505615,0.067753,0.045000
z_0009_457.124031.png,#7d6608,1628,0.860351,0.038716,0.045000
z_0009_457.124031.png,#aed6f1,1,0.000528,0.000024,0.045000
z_0009_457.124031.png,#f3d245,366,0.193421,0.008704,0.045000
z_0010_458.139535.png,#008000,834,0.440745,0.019834,0.045000
z_0010_458.139535.png,#1f618d,2070,1.093936,0.049227,0.045000
z_0010_458.139535.png,#5dade2,2334,1.233452,0.055505,0.045000
z_0010_458.139535.png,#7d6608,1723,0.910556,0.040975,0.045000
z_0010_458.139535.png,#f3d245,105,0.055489,0.002497,0.045000
z_0011_459.155039.png,#008000,1222,0.645792,0.029061,0.045000
z_0011_459.155039.png,#1f618d,2151,1.136742,0.051153,0.045000
z_0011_459.155039.png,#5dade2,1967,1.039503,0.046778,0.045000
z_0011_459.155039.png,#7d6608,1705,0.901044,0.040547,0.045000
z_0011_459.155039.png,#f3d245,14,0.007399,0.000333,0.045000
z_0012_460.170543.png,#008000,1615,0.853481,0.038407,0.045000
z_0012_460.170543.png,#1f618d,2192,1.158409,0.052128,0.045000
z_0012_460.170543.png,#5dade2,1431,0.756243,0.034031,0.045000
z_0012_460.170543.png,#7d6608,1674,0.884661,0.039810,0.045000
z_0013_461.186047.png,#008000,2159,1.140970,0.051344,0.045000
z_0013_461.186047.png,#1f618d,2199,1.162109,0.052295,0.045000
z_0013_461.186047.png,#5dade2,1151,0.608271,0.027372,0.045000
z_0013_461.186047.png,#7d6608,1620,0.856124,0.038526,0.045000
z_0014_462.201550.png,#008000,2775,1.466508,0.065993,0.045000
z_0014_462.201550.png,#1f618d,2147,1.134628,0.051058,0.045000
z_0014_462.201550.png,#5dade2,983,0.519487,0.023377,0.045000
z_0014_462.201550.png,#7d6608,1561,0.824944,0.037122,0.045000
z_0015_463.217054.png,#008000,3507,1.853349,0.083401,0.045000
z_0015_463.217054.png,#1f618d,2148,1.135157,0.051082,0.045000
z_0015_463.217054.png,#5d6d7e,323,0.170696,0.007681,0.045000
z_0015_463.217054.png,#5dade2,857,0.452900,0.020380,0.045000
z_0015_463.217054.png,#7d6608,1489,0.786894,0.035410,0.045000
z_0015_463.217054.png,#aed6f1,1,0.000528,0.000024,0.045000
z_0016_464.232558.png,#008000,3947,2.085877,0.093864,0.045000
z_0016_464.232558.png,#1f618d,2114,1.117189,0.050273,0.045000
z_0016_464.232558.png,#5d6d7e,287,0.151671,0.006825,0.045000
z_0016_464.232558.png,#5dade2,791,0.418021,0.018811,0.045000
z_0016_464.232558.png,#7d6608,1407,0.743559,0.033460,0.045000
z_0017_465.248062.png,#008000,4071,2.151407,0.096813,0.045000
z_0017_465.248062.png,#1f618d,2090,1.104505,0.049703,0.045000
z_0017_465.248062.png,#5d6d7e,400,0.211389,0.009512,0.045000
z_0017_465.248062.png,#5dade2,783,0.413793,0.018621,0.045000
z_0017_465.248062.png,#7d6608,1373,0.725591,0.032652,0.045000
z_0018_466.263566.png,#008000,4568,2.414057,0.108633,0.045000
z_0018_466.263566.png,#1f618d,2097,1.108205,0.049869,0.045000
z_0018_466.263566.png,#5d6d7e,683,0.360946,0.016243,0.045000
z_0018_466.263566.png,#5dade2,774,0.409037,0.018407,0.045000
z_0018_466.263566.png,#7d6608,1321,0.698111,0.031415,0.045000
z_0018_466.263566.png,#aed6f1,1,0.000528,0.000024,0.045000
z_0019_467.279070.png,#008000,4992,2.638129,0.118716,0.045000
z_0019_467.279070.png,#1f618d,2196,1.160523,0.052224,0.045000
z_0019_467.279070.png,#5d6d7e,955,0.504690,0.022711,0.045000
z_0019_467.279070.png,#5dade2,796,0.420663,0.018930,0.045000
z_0019_467.279070.png,#7d6608,1337,0.706566,0.031795,0.045000
z_0019_467.279070.png,#aed6f1,1,0.000528,0.000024,0.045000
z_0020_468.294574.png,#008000,4883,2.580526,0.116124,0.045000
z_0020_468.294574.png,#1f618d,2302,1.216541,0.054744,0.045000
z_0020_468.294574.png,#5d6d7e,1293,0.683314,0.030749,0.045000
z_0020_468.294574.png,#5dade2,837,0.442331,0.019905,0.045000
z_0020_468.294574.png,#7d6608,1374,0.726120,0.032675,0.045000
z_0021_469.310078.png,#008000,4528,2.392918,0.107681,0.045000
z_0021_469.310078.png,#1f618d,2370,1.252477,0.056361,0.045000
z_0021_469.310078.png,#5d6d7e,1850,0.977672,0.043995,0.045000
z_0021_469.310078.png,#5dade2,874,0.461884,0.020785,0.045000
z_0021_469.310078.png,#7d6608,1447,0.764698,0.034411,0.045000
z_0021_469.310078.png,#ff8000,92,0.048619,0.002188,0.045000
z_0022_470.325581.png,#008000,4152,2.194213,0.098740,0.045000
z_0022_470.325581.png,#1f618d,2267,1.198045,0.053912,0.045000
