color_hex,total_blob_count,total_perimeter_um,total_area_um2
#0e6251,289,1282.937271,57.732177
#117a65,771,1928.363546,86.776360
#145a32,579,1429.092235,64.309151
#154360,526,1349.931318,60.746909
#196f3d,661,1585.262629,71.336818
#1b4f72,1028,2636.013949,118.620628
#2e4053,489,1121.567733,50.470548
#2ecc71,627,1305.715667,58.757205
#3b3b98,380,1015.948999,45.717705
#45b39d,576,1423.849174,64.073213
#48c9b0,833,1828.931610,82.301922
#4a235a,1827,4490.253488,202.061407
#512e5f,487,973.768131,43.819566
#52be80,755,1947.808350,87.651376
#5499c7,1046,2448.070778,110.163185
#73c6b6,188,513.137792,23.091201
#7b241c,426,1089.580587,49.031126
#82e0aa,587,1207.857525,54.353589
#85c1e9,807,1755.438057,78.994713
#922b21,927,2161.034198,97.246539
#9a7d0a,1435,3786.538981,170.394254
#a2d9ce,1262,209.658079,9.434614
#a3e4d7,2286,770.955666,34.693005
#a9cce3,2365,1121.798575,50.480936
#af601a,335,678.127801,30.515751
#af7ac5,702,1342.585510,60.416348
#b9770e,244,550.755396,24.783993
#bb8fce,394,842.737608,37.923192
#cb4335,208,443.661805,19.964781
#d2b4de,985,1122.096749,50.494354
#d35400,420,1048.343382,47.175452
#d68910,221,529.357820,23.821102
#e59866,715,1454.165147,65.437432
#e74c3c,374,911.539778,41.019290
#edbb99,884,2233.854773,100.523465
#f1948a,383,757.626937,34.093212
#f58231,477,1473.944297,66.327493
#f7dc6f,340,452.599643,20.366984
#f8c471,470,1026.953612,46.212913
#fad7a0,679,1452.001725,65.340078
