color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#4a235a,32.473077,202.061407,6.222429
#9a7d0a,29.993077,170.394254,5.681119
#1b4f72,19.927041,118.620628,5.952747
#0e6251,17.795740,57.732177,3.244157
#5499c7,16.218787,110.163185,6.792320
#edbb99,16.139053,100.523465,6.228585
#52be80,15.176391,87.651376,5.775509
#f58231,14.876006,66.327493,4.458690
#117a65,14.302722,86.776360,6.067122
#922b21,13.633284,97.246539,7.133024
#48c9b0,12.536805,82.301922,6.564824
#196f3d,12.403432,71.336818,5.751377
#fad7a0,12.318195,65.340078,5.304355
#85c1e9,11.186834,78.994713,7.061400
#45b39d,9.956124,64.073213,6.435558
#82e0aa,9.936657,54.353589,5.470008
#145a32,9.661509,64.309151,6.656222
#154360,9.132396,60.746909,6.651804
#e59866,8.884675,65.437432,7.365203
#2ecc71,8.455710,58.757205,6.948820
#7b241c,7.755740,49.031126,6.321915
#3b3b98,7.686243,45.717705,5.947991
#d35400,7.578314,47.175452,6.225059
#af7ac5,7.075414,60.416348,8.538913
#f8c471,7.062456,46.212913,6.543462
#bb8fce,6.944615,37.923192,5.460806
#2e4053,6.895148,50.470548,7.319719
#e74c3c,6.670473,41.019290,6.149383
#a9cce3,6.611923,50.480936,7.634834
#512e5f,6.503047,43.819566,6.738313
#f1948a,6.414438,34.093212,5.315074
#d2b4de,5.714024,50.494354,8.836917
#b9770e,4.525533,24.783993,5.476480
#af601a,3.681598,30.515751,8.288724
#73c6b6,3.295947,23.091201,7.005938
#d68910,3.170769,23.821102,7.512721
#a3e4d7,2.831036,34.693005,12.254526
#cb4335,2.802870,19.964781,7.122978
#f7dc6f,1.746775,20.366984,11.659764
#a2d9ce,0.402870,9.434614,23.418507
