color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#0000ff,135.232000,0.045000,6.085440
#008080,697.182400,0.045000,31.373208
#0080ff,342.868800,0.045000,15.429096
#0082c8,239.412800,0.045000,10.773576
#00fa9a,208.920000,0.045000,9.401400
#1e90ff,149.987200,0.045000,6.749424
#3cb44b,575.126400,0.045000,25.880688
#40e0d0,166.536000,0.045000,7.494120
#4169e1,31.939200,0.045000,1.437264
#46f0f0,35.641600,0.045000,1.603872
#6a5acd,352.120000,0.045000,15.845400
#800080,91.084800,0.045000,4.098816
#8000ff,1924.153600,0.045000,86.586912
#8080ff,197.211200,0.045000,8.874504
#80ff80,137.804800,0.045000,6.201216
#911eb4,132.918400,0.045000,5.981328
#9acd32,491.350400,0.045000,22.110768
#a52a2a,52.388800,0.045000,2.357496
#b22222,346.752000,0.045000,15.603840
#bcf60c,280.115200,0.045000,12.605184
#dc143c,351.222400,0.045000,15.805008
#e6194b,264.793600,0.045000,11.915712
#ed4ea9,145.801600,0.045000,6.561072
#f032e6,69.417600,0.045000,3.123792
#fabebe,118.806400,0.045000,5.346288
#ff0080,557.881600,0.045000,25.104672
#ff69b4,134.633600,0.045000,6.058512
#ff8080,504.913600,0.045000,22.721112
#ffd700,822.915200,0.045000,37.031184
