color_hex,total_blob_count,total_perimeter_um,total_area_um2
#0000ff,550,1102.571584,49.615721
#008080,1307,3520.679017,158.430556
#0080ff,384,1403.138490,63.141232
#0082c8,492,1366.438138,61.489716
#00fa9a,776,1629.155407,73.311993
#1e90ff,271,798.861699,35.948776
#3cb44b,577,2235.271035,100.587197
#40e0d0,528,1168.126031,52.565671
#4169e1,112,273.955974,12.328019
#46f0f0,179,329.780750,14.840134
#6a5acd,1476,2922.686665,131.520900
#800080,283,625.432401,28.144458
#8000ff,3655,10107.299393,454.828473
#8080ff,986,1353.378322,60.902025
#80ff80,378,962.093604,43.294212
#911eb4,582,1153.211514,51.894518
#9acd32,837,2693.781894,121.220185
#a52a2a,272,437.869293,19.704118
#b22222,676,1885.543424,84.849454
#bcf60c,495,1397.855445,62.903495
#dc143c,1113,2358.824959,106.147123
#e6194b,1091,2190.939043,98.592257
#ed4ea9,607,1159.732810,52.187976
#f032e6,243,582.546026,26.214571
#fabebe,490,948.650392,42.689268
#ff0080,1062,2824.997935,127.124907
#ff69b4,595,924.555858,41.605014
#ff8080,922,2782.054775,125.192465
#ffd700,1339,4094.796378,184.265837
