color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#ff6ee9,71.109751,366.285633,5.150990
#91ff78,33.854536,180.991830,5.346162
#ccebb2,33.099515,211.412674,6.387183
#8f82c4,23.382530,125.022161,5.346819
#ffbe78,19.865097,154.277303,7.766250
#ffc978,18.695793,127.178097,6.802498
#bbb477,16.666726,111.262200,6.675708
#7b92a8,16.118321,105.007816,6.514811
#ff73a1,15.605802,95.520146,6.120810
#96645c,14.706993,82.625560,5.618114
#195ba5,13.599081,96.546183,7.099464
#d0dba7,12.721039,101.546143,7.982535
#61965c,12.373650,70.077822,5.663472
#88bbd1,10.496362,76.404767,7.279167
#0c704f,10.127058,54.066075,5.338774
#b2a0fa,9.061636,64.824690,7.153751
#774d47,8.219864,58.795813,7.152894
#cfcb80,7.329380,50.659269,6.911808
#820079,7.162289,57.359586,8.008555
#c4809c,6.849926,53.005062,7.738049
#42ddf5,6.517371,42.291459,6.489037
#c9b7eb,6.182518,38.436845,6.217021
#ffcdbd,5.819530,43.878955,7.539948
#04800e,5.229591,29.391972,5.620319
#f2cabf,5.130494,39.222473,7.644970
#7a0474,5.129729,46.979682,9.158317
#48e85e,4.919429,37.249714,7.571959
#a347ff,4.895122,32.679378,6.675907
#ff61e7,4.776167,34.298062,7.181085
#ff270f,4.624866,31.212840,6.748918
#302e4d,4.347577,24.788077,5.701584
#ebd234,3.751035,29.242882,7.795950
#40426e,3.180331,27.461118,8.634673
#3b9c36,2.878543,20.592392,7.153755
#4cc7b6,2.535317,24.911175,9.825665
#d8e3a8,2.404975,23.175762,9.636592
#74a865,2.315783,18.002479,7.773819
#9ed3de,2.219653,20.606457,9.283639
