color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#fba9d5,36.127933,228.056043,6.312458
#4b1280,24.975033,171.343070,6.860574
#977499,20.984102,87.810241,4.184608
#ff0033,20.772184,116.337323,5.600630
#cc68e8,19.105935,92.171270,4.824222
#cc4f25,16.129887,88.250441,5.471237
#9ddee3,15.691589,96.269183,6.135082
#377e94,13.107458,57.483880,4.385586
#fc0356,12.962137,71.491081,5.515378
#eb548d,11.839339,85.891950,7.254793
#cc1f00,10.930924,80.765441,7.388711
#52f7fa,9.791560,64.314438,6.568355
#ebc275,9.626154,72.727909,7.555241
#4561ad,9.380051,58.304025,6.215747
#8c69bf,8.401359,68.915190,8.202862
#5203fc,8.375161,57.079943,6.815385
#476678,7.816392,56.096529,7.176780
#fad44b,6.782838,47.881136,7.059160
#ae4410,6.763280,55.499646,8.206025
#45c23e,6.343389,51.047344,8.047330
#6ef0b8,6.003736,47.238825,7.868238
#6b731c,4.468608,30.563772,6.839663
#f403fc,4.286439,36.489895,8.512869
#029691,4.152162,25.725762,6.195751
#852815,4.125373,30.900642,7.490387
#e868cc,2.603163,21.054231,8.087942
#388a45,2.349861,26.212573,11.154946
#f06e8a,1.888652,13.850124,7.333338
