color_hex,total_blob_count,total_perimeter_um,total_area_um2
#029691,194,571.683596,25.725762
#377e94,286,1277.419548,57.483880
#388a45,391,582.501624,26.212573
#4561ad,523,1295.645005,58.304025
#45c23e,437,1134.385411,51.047344
#476678,505,1246.589543,56.096529
#4b1280,1865,3807.623778,171.343070
#5203fc,516,1268.443180,57.079943
#52f7fa,627,1429.209730,64.314438
#6b731c,298,679.194926,30.563772
#6ef0b8,481,1049.751676,47.238825
#852815,337,686.680923,30.900642
#8c69bf,835,1531.448675,68.915190
#977499,591,1951.338681,87.810241
#9ddee3,897,2139.315185,96.269183
#ae4410,652,1233.325468,55.499646
#cc1f00,824,1794.787575,80.765441
#cc4f25,719,1961.120907,88.250441
#cc68e8,672,2048.250449,92.171270
#e868cc,251,467.871810,21.054231
#eb548d,888,1908.709993,85.891950
#ebc275,700,1616.175764,72.727909
#f06e8a,141,307.780527,13.850124
#f403fc,419,810.886566,36.489895
#fad44b,541,1064.025242,47.881136
#fba9d5,2069,5067.912065,228.056043
#fc0356,486,1588.690699,71.491081
#ff0033,978,2585.273839,116.337323
