color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#00ffaa,74.413560,0.040000,2.976542
#1f1945,194.525384,0.040000,7.781015
#2600ff,167.428234,0.040000,6.697129
#2727e8,237.037443,0.040000,9.481498
#44ff00,426.719008,0.040000,17.068760
#5b8f73,34.105583,0.040000,1.364223
#687550,452.157025,0.040000,18.086281
#86b5eb,760.400573,0.040000,30.416023
#8f7cfc,37.270535,0.040000,1.490821
#9486bd,670.629786,0.040000,26.825191
#9786eb,307.017035,0.040000,12.280681
#9b33b5,178.623208,0.040000,7.144928
#9c0027,286.158711,0.040000,11.446348
#b0d4ff,182.744476,0.040000,7.309779
#c003ff,239.074549,0.040000,9.562982
#d0ebf9,56.993422,0.040000,2.279737
#d432ed,69.814134,0.040000,2.792565
#db7770,130.181987,0.040000,5.207279
#fabf5a,176.636195,0.040000,7.065448
#ff0055,492.905212,0.040000,19.716208
