color_hex,total_blob_count,total_perimeter_um,total_area_um2
#00ffaa,262,479.679471,19.187179
#1f1945,484,1217.131365,48.685255
#2600ff,722,2389440.873883,95577.634955
#2727e8,328,804256.607230,32170.264289
#44ff00,543,798760.692198,31950.427688
#5b8f73,183,321075.137352,12843.005494
#687550,854,1360741.280330,54429.651213
#86b5eb,987,946127.590312,37845.103612
#8f7cfc,215,345.762256,13.830490
#9486bd,778,664519.261481,26580.770459
#9786eb,1061,798336.158817,31933.446353
#9b33b5,316,206444.349413,8257.773977
#9c0027,199,168780.413544,6751.216542
#b0d4ff,427,1043.050545,41.722022
#c003ff,572,1492497.577783,59699.903111
#d0ebf9,321,778184.500418,31127.380017
#d432ed,204,167647.455866,6705.898235
#db7770,383,783.802257,31.352090
#fabf5a,548,845011.533665,33800.461347
#ff0055,942,1348593.341454,53943.733658
