slice_index,original_filename,processed_filename,z_coordinate
1,bandicam 2026-09-09 03-12-27-451.png,z_0001_345.000000.png,345.000000
2,bandicam 2026-09-09 03-12-28-381.png,z_0002_345.995918.png,345.995918
3,bandicam 2026-09-09 03-12-29-389.png,z_0003_346.991837.png,346.991837
4,bandicam 2026-09-09 03-12-30-365.png,z_0004_347.987755.png,347.987755
5,bandicam 2026-09-09 03-12-31-181.png,z_0005_348.983673.png,348.983673
6,bandicam 2026-09-09 03-12-31-989.png,z_0006_349.979592.png,349.979592
7,bandicam 2026-09-09 03-12-35-462.png,z_0007_350.975510.png,350.975510
8,bandicam 2026-09-09 03-12-36-305.png,z_0008_351.971429.png,351.971429
9,bandicam 2026-09-09 03-12-37-102.png,z_0009_352.967347.png,352.967347
10,bandicam 2026-09-09 03-12-38-043.png,z_0010_353.963265.png,353.963265
11,bandicam 2026-09-09 03-12-38-970.png,z_0011_354.959184.png,354.959184
12,bandicam 2026-09-09 03-12-39-903.png,z_0012_355.955102.png,355.955102
13,bandicam 2026-09-09 03-12-40-837.png,z_0013_356.951020.png,356.951020
14,bandicam 2026-09-09 03-12-41-808.png,z_0014_357.946939.png,357.946939
15,bandicam 2026-09-09 03-12-42-730.png,z_0015_358.942857.png,358.942857
16,bandicam 2026-09-09 03-12-43-624.png,z_0016_359.938776.png,359.938776
17,bandicam 2026-09-09 03-12-44-600.png,z_0017_360.934694.png,360.934694
18,bandicam 2026-09-09 03-12-45-613.png,z_0018_361.930612.png,361.930612
19,bandicam 2026-09-09 03-12-46-616.png,z_0019_362.926531.png,362.926531
20,bandicam 2026-09-09 03-12-47-511.png,z_0020_363.922449.png,363.922449
21,bandicam 2026-09-09 03-12-48-552.png,z_0021_364.918367.png,364.918367
22,bandicam 2026-09-09 03-12-49-723.png,z_0022_365.914286.png,365.914286
23,bandicam 2026-09-09 03-12-50-753.png,z_0023_366.910204.png,366.910204
24,bandicam 2026-09-09 03-12-51-643.png,z_0024_367.906122.png,367.906122
25,bandicam 2026-09-09 03-12-52-621.png,z_0025_368.902041.png,368.902041
26,bandicam 2026-09-09 03-12-53-674.png,z_0026_369.897959.png,369.897959
27,bandicam 2026-09-09 03-12-54-616.png,z_0027_370.893878.png,370.893878
28,bandicam 2026-09-09 03-12-55-598.png,z_0028_371.889796.png,371.889796
29,bandicam 2026-09-09 03-12-56-640.png,z_0029_372.885714.png,372.885714
30,bandicam 2026-09-09 03-12-57-843.png,z_0030_373.881633.png,373.881633
31,bandicam 2026-09-09 03-12-58-938.png,z_0031_374.877551.png,374.877551
32,bandicam 2026-09-09 03-12-59-936.png,z_0032_375.873469.png,375.873469
33,bandicam 2026-09-09 03-13-01-078.png,z_0033_376.869388.png,376.869388
34,bandicam 2026-09-09 03-13-02-145.png,z_0034_377.865306.png,377.865306
35,bandicam 2026-09-09 03-13-03-187.png,z_0035_378.861224.png,378.861224
36,bandicam 2026-09-09 03-13-04-191.png,z_0036_379.857143.png,379.857143
37,bandicam 2026-09-09 03-13-05-145.png,z_0037_380.853061.png,380.853061
38,bandicam 2026-09-09 03-13-06-152.png,z_0038_381.848980.png,381.848980
39,bandicam 2026-09-09 03-13-07-123.png,z_0039_382.844898.png,382.844898
40,bandicam 2026-09-09 03-13-08-404.png,z_0040_383.840816.png,383.840816
41,bandicam 2026-09-09 03-13-09-796.png,z_0041_384.836735.png,384.836735
42,bandicam 2026-09-09 03-13-10-876.png,z_0042_385.832653.png,385.832653
43,bandicam 2026-09-09 03-13-12-403.png,z_0043_386.828571.png,386.828571
44,bandicam 2026-09-09 03-13-13-376.png,z_0044_387.824490.png,387.824490
45,bandicam 2026-09-09 03-13-14-385.png,z_0045_388.820408.png,388.820408
46,bandicam 2026-09-09 03-13-15-551.png,z_0046_389.816327.png,389.816327
47,bandicam 2026-09-09 03-13-16-550.png,z_0047_390.812245.png,390.812245
48,bandicam 2026-09-09 03-13-17-569.png,z_0048_391.808163.png,391.808163
49,bandicam 2026-09-09 03-13-18-684.png,z_0049_392.804082.png,392.804082
50,bandicam 2026-09-09 03-13-19-812.png,z_0050_393.800000.png,393.800000
51,bandicam 2026-09-09 03-13-20-817.png,z_0051_394.795918.png,394.795918
52,bandicam 2026-09-09 03-13-21-958.png,z_0052_395.791837.png,395.791837
53,bandicam 2026-09-09 03-13-23-059.png,z_0053_396.787755.png,396.787755
54,bandicam 2026-09-09 03-13-24-266.png,z_0054_397.783673.png,397.783673
55,bandicam 2026-09-09 03-13-25-238.png,z_0055_398.779592.png,398.779592
