color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#8000ff,60.647456,360.219922,5.939572
#008080,25.201302,138.404721,5.491967
#3cb44b,21.713402,79.584070,3.665205
#ffd700,18.669172,113.216745,6.064369
#9acd32,18.355059,98.797146,5.382557
#ff0080,15.875799,87.029074,5.481870
#6a5acd,13.940592,114.740243,8.230658
#ff8080,13.512663,80.307291,5.943114
#0080ff,13.471538,51.154234,3.797208
#b22222,12.677633,64.083068,5.054813
#bcf60c,12.631775,61.041222,4.832355
#dc143c,12.089615,96.681628,7.997081
#0082c8,9.333343,51.349431,5.501719
#e6194b,8.130325,69.995544,8.609194
#40e0d0,7.786479,54.548462,7.005536
#00fa9a,7.413994,58.065953,7.831940
#8080ff,6.525503,47.433026,7.268869
#1e90ff,4.965059,23.669874,4.767290
#80ff80,4.711479,35.818138,7.602313
#911eb4,4.334053,40.726498,9.396862
#0000ff,3.991154,32.165604,8.059224
#ff69b4,3.850888,26.079474,6.772327
#800080,2.548491,17.414815,6.833383
#f032e6,2.038166,16.811367,8.248282
#a52a2a,1.965178,15.525529,7.900317
#4169e1,0.872101,7.504101,8.604624
#ed4ea9,0.496450,5.484869,11.048180
#46f0f0,0.482692,5.328529,11.039191
