color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#ff00ff,82.601539,443.793842,5.372707
#800000,28.488821,150.368105,5.278144
#00ffff,26.476854,173.208108,6.541869
#ffff00,13.090930,67.724492,5.173390
#5ac1d9,11.838716,62.665688,5.293284
#008000,10.693366,71.969131,6.730260
#00ff80,10.506689,70.932622,6.751187
#000080,10.483503,60.562913,5.776973
#ff8000,9.071969,60.630385,6.683266
#822072,8.423441,63.681233,7.560002
#20b2aa,8.339764,58.265837,6.986509
#8a2be2,8.296108,69.108972,8.330288
#32cd32,7.256741,40.444658,5.573391
#8080ff,6.022625,40.942488,6.798113
#ff4500,4.535487,39.324494,8.670402
#8b99c5,4.413434,25.891306,5.866476
#ff1493,3.996042,23.891470,5.978784
#808000,3.573294,20.510673,5.739990
#f58231,2.849008,27.474683,9.643596
#80ff80,0.003329,0.246003,73.896966
#ff8080,0.002372,0.200546,84.547218
#008080,0.001148,0.096774,84.297909
