color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#008000,233.459110,0.045000,10.505660
#1f618d,898.847932,0.045000,40.448157
#20b2aa,73.018364,0.045000,3.285826
#58d68d,41.073854,0.045000,1.848323
#5d6d7e,244.431233,0.045000,10.999405
#5dade2,172.430704,0.045000,7.759382
#7d6608,398.554102,0.045000,17.934935
#7e5109,200.238869,0.045000,9.010749
#808000,0.005285,0.045000,0.000238
#aed6f1,54.063152,0.045000,2.432842
#d7bde2,271.187739,0.045000,12.203448
#eb984e,175.529660,0.045000,7.898835
#f3d245,27.763773,0.045000,1.249370
#f9e79f,146.048355,0.045000,6.572176
#ff8000,79.408641,0.045000,3.573389
#ffff00,286.434139,0.045000,12.889536
