slice_file,color_hex,blob_count,perimeter_px,perimeter_um,slice_area_um2,slice_thickness_um
z_0001_449.000000.png,#008000,4,272.551299,6.265547,0.281950,0.045000
z_0001_449.000000.png,#1f618d,1,162.267027,3.730276,0.167862,0.045000
z_0001_449.000000.png,#5dade2,2,338.634560,7.784703,0.350312,0.045000
z_0001_449.000000.png,#7d6608,1,170.610173,3.922073,0.176493,0.045000
z_0001_449.000000.png,#f3d245,1,165.781746,3.811075,0.171498,0.045000
z_0002_450.015504.png,#008000,3,166.953319,3.838007,0.172710,0.045000
z_0002_450.015504.png,#1f618d,1,166.852814,3.835697,0.172606,0.045000
z_0002_450.015504.png,#5dade2,2,337.362482,7.755459,0.348996,0.045000
z_0002_450.015504.png,#7d6608,1,169.781746,3.903029,0.175636,0.045000
z_0002_450.015504.png,#f3d245,1,203.137085,4.669818,0.210142,0.045000
z_0003_451.031008.png,#008000,3,166.852814,3.835697,0.172606,0.045000
z_0003_451.031008.png,#1f618d,1,165.923882,3.814342,0.171645,0.045000
z_0003_451.031008.png,#5dade2,2,336.877200,7.744303,0.348494,0.045000
z_0003_451.031008.png,#7d6608,1,167.539105,3.851474,0.173316,0.045000
z_0003_451.031008.png,#f3d245,1,183.237590,4.212358,0.189556,0.045000
z_0004_452.046512.png,#008000,3,162.124892,3.727009,0.167715,0.045000
z_0004_452.046512.png,#1f618d,1,165.923882,3.814342,0.171645,0.045000
z_0004_452.046512.png,#5dade2,2,337.462987,7.757770,0.349100,0.045000
z_0004_452.046512.png,#7d6608,1,169.195959,3.889562,0.175030,0.045000
z_0004_452.046512.png,#aed6f1,1,2.828427,0.065021,0.002926,0.045000
z_0004_452.046512.png,#f3d245,1,172.166522,3.957851,0.178103,0.045000
z_0005_453.062016.png,#008000,3,158.710678,3.648521,0.164183,0.045000
z_0005_453.062016.png,#1f618d,1,164.852814,3.789720,0.170537,0.045000
z_0005_453.062016.png,#5dade2,2,336.634560,7.738726,0.348243,0.045000
z_0005_453.062016.png,#7d6608,1,163.195959,3.751631,0.168823,0.045000
z_0005_453.062016.png,#aed6f1,2,5.656854,0.130043,0.005852,0.045000
z_0005_453.062016.png,#f3d245,1,152.852814,3.513858,0.158124,0.045000
z_0006_454.077519.png,#008000,3,155.781746,3.581190,0.161154,0.045000
z_0006_454.077519.png,#1f618d,1,168.024387,3.862630,0.173818,0.045000
