color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#ce24d4,29.560026,144.222015,4.878954
#47964c,27.263937,150.039664,5.503228
#a85e32,24.433184,130.450318,5.339063
#374a29,22.834701,164.398527,7.199504
#f0ed97,19.715962,117.408672,5.955006
#75a832,18.749994,122.903819,6.554872
#8a4334,17.646654,109.063436,6.180403
#03fc5a,15.017688,93.023777,6.194281
#fcbf79,14.192674,79.982653,5.635489
#a178ad,12.521299,68.017194,5.432120
#6c1273,11.034078,68.716397,6.227652
#c9fa5f,8.628955,65.048781,7.538431
#b452ff,8.270711,59.806693,7.231143
#ed755c,6.690501,45.059213,6.734804
#85150b,5.520619,30.168284,5.464656
#d41515,4.752892,32.259673,6.787378
#86a863,4.522800,33.941014,7.504425
#15d445,3.931289,19.236135,4.893086
#b1d415,3.333462,23.346984,7.003825
#f5b942,1.194168,9.789412,8.197684
