slice_index,original_filename,processed_filename,z_coordinate
1,bandicam 2026-09-08 21-55-41-492.png,z_0001_480.000000.png,480.000000
2,bandicam 2026-09-08 21-55-49-348.png,z_0002_481.000000.png,481.000000
3,bandicam 2026-09-08 21-55-51-904.png,z_0003_482.000000.png,482.000000
4,bandicam 2026-09-08 21-55-53-825.png,z_0004_483.000000.png,483.000000
5,bandicam 2026-09-08 21-55-55-988.png,z_0005_484.000000.png,484.000000
6,bandicam 2026-09-08 21-55-58-291.png,z_0006_485.000000.png,485.000000
7,bandicam 2026-09-08 21-56-02-363.png,z_0007_486.000000.png,486.000000
8,bandicam 2026-09-08 21-56-14-738.png,z_0008_487.000000.png,487.000000
9,bandicam 2026-09-08 21-56-15-694.png,z_0009_488.000000.png,488.000000
10,bandicam 2026-09-08 21-56-16-655.png,z_0010_489.000000.png,489.000000
11,bandicam 2026-09-08 21-56-17-646.png,z_0011_490.000000.png,490.000000
12,bandicam 2026-09-08 21-56-18-595.png,z_0012_491.000000.png,491.000000
13,bandicam 2026-09-08 21-56-19-686.png,z_0013_492.000000.png,492.000000
14,bandicam 2026-09-08 21-56-20-727.png,z_0014_493.000000.png,493.000000
15,bandicam 2026-09-08 21-56-21-699.png,z_0015_494.000000.png,494.000000
16,bandicam 2026-09-08 21-56-23-223.png,z_0016_495.000000.png,495.000000
17,bandicam 2026-09-08 21-56-24-962.png,z_0017_496.000000.png,496.000000
18,bandicam 2026-09-08 21-56-26-596.png,z_0018_497.000000.png,497.000000
19,bandicam 2026-09-08 21-56-29-510.png,z_0019_498.000000.png,498.000000
20,bandicam 2026-09-08 21-56-31-628.png,z_0020_499.000000.png,499.000000
21,bandicam 2026-09-08 21-56-34-734.png,z_0021_500.000000.png,500.000000
22,bandicam 2026-09-08 21-56-35-815.png,z_0022_501.000000.png,501.000000
23,bandicam 2026-09-08 21-56-36-775.png,z_0023_502.000000.png,502.000000
24,bandicam 2026-09-08 21-56-37-642.png,z_0024_503.000000.png,503.000000
25,bandicam 2026-09-08 21-56-38-601.png,z_0025_504.000000.png,504.000000
26,bandicam 2026-09-08 21-56-39-562.png,z_0026_505.000000.png,505.000000
27,bandicam 2026-09-08 21-56-40-581.png,z_0027_506.000000.png,506.000000
28,bandicam 2026-09-08 21-56-41-700.png,z_0028_507.000000.png,507.000000
29,bandicam 2026-09-08 21-56-42-838.png,z_0029_508.000000.png,508.000000
30,bandicam 2026-09-08 21-56-43-913.png,z_0030_509.000000.png,509.000000
31,bandicam 2026-09-08 21-56-44-907.png,z_0031_510.000000.png,510.000000
32,bandicam 2026-09-08 21-56-45-905.png,z_0032_511.000000.png,511.000000
33,bandicam 2026-09-08 21-56-48-375.png,z_0033_512.000000.png,512.000000
34,bandicam 2026-09-08 21-56-49-743.png,z_0034_513.000000.png,513.000000
35,bandicam 2026-09-08 21-56-51-359.png,z_0035_514.000000.png,514.000000
36,bandicam 2026-09-08 21-56-52-530.png,z_0036_515.000000.png,515.000000
37,bandicam 2026-09-08 21-56-53-872.png,z_0037_516.000000.png,516.000000
38,bandicam 2026-09-08 21-56-55-241.png,z_0038_517.000000.png,517.000000
39,bandicam 2026-09-08 21-56-56-715.png,z_0039_518.000000.png,518.000000
40,bandicam 2026-09-08 21-56-58-150.png,z_0040_519.000000.png,519.000000
41,bandicam 2026-09-08 21-56-59-647.png,z_0041_520.000000.png,520.000000
42,bandicam 2026-09-08 21-57-01-025.png,z_0042_521.000000.png,521.000000
43,bandicam 2026-09-08 21-57-02-582.png,z_0043_522.000000.png,522.000000
44,bandicam 2026-09-08 21-57-03-957.png,z_0044_523.000000.png,523.000000
45,bandicam 2026-09-08 21-57-05-405.png,z_0045_524.000000.png,524.000000
46,bandicam 2026-09-08 21-57-06-939.png,z_0046_525.000000.png,525.000000
47,bandicam 2026-09-08 21-57-08-223.png,z_0047_526.000000.png,526.000000
48,bandicam 2026-09-08 21-57-09-940.png,z_0048_527.000000.png,527.000000
49,bandicam 2026-09-08 21-57-11-597.png,z_0049_528.000000.png,528.000000
50,bandicam 2026-09-08 21-57-13-078.png,z_0050_529.000000.png,529.000000
51,bandicam 2026-09-08 21-57-14-586.png,z_0051_530.000000.png,530.000000
52,bandicam 2026-09-08 21-57-16-264.png,z_0052_531.000000.png,531.000000
