color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#ffb0ba,33.561319,189.983655,5.660792
#eb7434,30.483819,157.479308,5.165997
#8695bd,21.232986,100.740542,4.744530
#2b8f76,18.678681,96.161004,5.148169
#9486bd,17.522639,90.984229,5.192382
#15c1d4,17.252361,91.036823,5.276775
#806a16,16.932431,98.452831,5.814453
#60bccc,13.289931,72.165514,5.430089
#b54c73,12.823542,86.201525,6.722131
#c9a236,12.313403,58.113795,4.719556
#2c6944,11.990139,76.232213,6.357909
#eb4934,11.671458,81.917537,7.018621
#ff8308,11.025278,57.641810,5.228150
#e8a9bc,9.529097,62.625702,6.572050
#d4ce15,8.409236,51.664164,6.143741
#74ff8a,7.938403,48.109604,6.060363
#a3afd4,7.362083,64.746472,8.794586
#780dd6,6.837569,54.225227,7.930483
#b086bd,5.766736,42.935499,7.445373
#cc2f2f,5.503403,34.108349,6.197683
#961a3f,5.391806,46.041411,8.539145
#f79d79,4.993611,31.093334,6.226623
#881a96,4.734167,33.573475,7.091739
#c4b897,4.572361,38.940644,8.516529
#94d4b5,4.310556,31.584746,7.327302
#9b33b5,3.936944,30.887567,7.845569
#4e5fb6,2.422569,17.797406,7.346501
#00701e,0.076458,1.006257,13.160912
#1a2496,0.002222,0.037880,17.047705
#93a0c7,0.000556,0.037712,67.827338
