slice_file,color_hex,blob_count,perimeter_px,perimeter_um,slice_area_um2,slice_thickness_um
z_0001_345.000000.png,#4363d8,1,240.651804,6.170559,0.277675,0.045000
z_0002_346.004115.png,#4363d8,2,269.965512,6.922193,0.311499,0.045000
z_0003_347.008230.png,#4363d8,2,270.793939,6.943434,0.312455,0.045000
z_0004_348.012346.png,#4363d8,2,275.965512,7.076039,0.318422,0.045000
z_0005_349.016461.png,#4363d8,2,276.551299,7.091059,0.319098,0.045000
z_0006_350.020576.png,#4363d8,3,272.066017,6.976052,0.313922,0.045000
z_0007_351.024691.png,#4363d8,1,146.953319,3.768034,0.169562,0.045000
z_0008_352.028807.png,#4363d8,2,259.480231,6.653339,0.299400,0.045000
z_0008_352.028807.png,#822072,1,141.053824,3.616765,0.162754,0.045000
z_0008_352.028807.png,#f58231,2,139.982756,3.589301,0.161519,0.045000
z_0009_353.032922.png,#4363d8,2,235.580736,6.040532,0.271824,0.045000
z_0009_353.032922.png,#822072,2,178.953319,4.588547,0.206485,0.045000
z_0009_353.032922.png,#f58231,2,128.811183,3.302851,0.148628,0.045000
z_0010_354.037037.png,#4363d8,2,228.024387,5.846779,0.263105,0.045000
z_0010_354.037037.png,#822072,1,197.438600,5.062528,0.227814,0.045000
z_0010_354.037037.png,#f58231,2,131.639610,3.375375,0.151892,0.045000
z_0011_355.041152.png,#4363d8,2,226.509668,5.807940,0.261357,0.045000
z_0011_355.041152.png,#f58231,2,135.296465,3.469140,0.156111,0.045000
z_0012_356.045267.png,#4363d8,3,212.953319,5.460342,0.245715,0.045000
z_0012_356.045267.png,#f58231,2,144.468037,3.704309,0.166694,0.045000
z_0013_357.049383.png,#4363d8,2,126.769553,3.250501,0.146273,0.045000
z_0013_357.049383.png,#f58231,2,152.710678,3.915658,0.176205,0.045000
z_0013_357.049383.png,#ff00ff,1,98.426407,2.523754,0.113569,0.045000
z_0014_358.053498.png,#4363d8,1,104.870058,2.688976,0.121004,0.045000
z_0014_358.053498.png,#822072,2,35.899495,0.920500,0.041422,0.045000
z_0014_358.053498.png,#f58231,2,158.124892,4.054484,0.182452,0.045000
z_0014_358.053498.png,#ff00ff,3,247.722871,6.351868,0.285834,0.045000
z_0015_359.057613.png,#4363d8,1,106.769553,2.737681,0.123196,0.045000
z_0015_359.057613.png,#822072,2,49.213203,1.261877,0.056784,0.045000
