color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#a8329d,53.754875,249.877378,4.648460
#aeeff2,16.406042,89.669621,5.465646
#96d4ba,15.928871,113.011989,7.094790
#a2aee8,15.583508,102.772174,6.594932
#b54136,14.314126,86.424787,6.037727
#f06e8a,13.307154,66.978479,5.033268
#cc1f00,13.077989,78.905900,6.033489
#b57a36,11.078369,81.574645,7.363416
#8f82c4,10.007790,62.636756,6.258800
#377e94,7.998088,45.360988,5.671479
#b5748e,7.959278,49.505797,6.219885
#b36994,7.193538,38.805554,5.394502
#cc68e8,7.115528,43.040778,6.048852
#030b9e,6.425229,43.185163,6.721187
#75aaff,6.310121,38.504896,6.102085
#cacc5e,6.086756,52.593963,8.640721
#9e033c,4.784014,40.429775,8.451015
#74b59b,4.520982,35.236765,7.794051
#a9ebc4,4.459671,31.495413,7.062273
#157d0b,3.887439,25.953016,6.676122
#4a7840,1.872093,17.369211,9.277964
#365187,0.211570,2.781450,13.146713
