color_hex,total_blob_count,total_perimeter_um,total_area_um2
#030b9e,395,959.670291,43.185163
#157d0b,261,576.733687,25.953016
#365187,49,61.810010,2.781450
#377e94,344,1008.021956,45.360988
#4a7840,194,385.982465,17.369211
#74b59b,397,783.039215,35.236765
#75aaff,283,855.664357,38.504896
#8f82c4,580,1391.927913,62.636756
#96d4ba,1092,2511.377536,113.011989
#9e033c,474,898.439438,40.429775
#a2aee8,904,2283.826079,102.772174
#a8329d,1855,5552.830630,249.877378
#a9ebc4,296,699.898058,31.495413
#aeeff2,691,1992.658245,89.669621
#b36994,346,862.345649,38.805554
#b54136,772,1920.550828,86.424787
#b5748e,463,1100.128830,49.505797
#b57a36,858,1812.769887,81.574645
#cacc5e,598,1168.754725,52.593963
#cc1f00,698,1753.464452,78.905900
#cc68e8,336,956.461724,43.040778
#f06e8a,514,1488.410643,66.978479
