color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#a85e32,51.194354,261.487603,5.107743
#ed755c,38.712589,224.545899,5.800333
#b1d415,37.111819,213.991227,5.766121
#f0ed97,31.890504,146.592939,4.596758
#93a0c7,31.797841,142.275923,4.474389
#ce24d4,28.148733,77.435593,2.750944
#47964c,22.981852,108.329767,4.713709
#c9fa5f,14.842768,102.811643,6.926716
#374a29,12.504116,72.737445,5.817080
#45818e,12.079591,94.180355,7.796651
#630024,10.776991,68.187199,6.327109
#fcbf79,10.041213,60.745319,6.049600
#afeda4,9.706293,57.635290,5.937930
#15d445,9.051804,43.311536,4.784851
#b6b0a8,6.925793,53.634650,7.744189
#e8d9ff,5.501801,36.808894,6.690335
#fcba03,4.713134,29.569955,6.273947
#d41515,4.606074,27.810294,6.037744
#4cd4bb,3.446001,19.502406,5.659431
#158a8a,3.034131,23.104014,7.614705
#85b066,2.435982,24.916937,10.228703
