slice_file,color_hex,blob_count,perimeter_px,perimeter_um,slice_area_um2,slice_thickness_um
z_0001_402.000000.png,#374a29,1,135.296465,3.656661,0.164550,0.045000
z_0001_402.000000.png,#45818e,2,65.213203,1.762519,0.079313,0.045000
z_0001_402.000000.png,#47964c,2,119.740115,3.236219,0.145630,0.045000
z_0001_402.000000.png,#630024,1,91.012193,2.459789,0.110691,0.045000
z_0001_402.000000.png,#93a0c7,1,95.012193,2.567897,0.115555,0.045000
z_0001_402.000000.png,#a85e32,3,196.267027,5.304514,0.238703,0.045000
z_0001_402.000000.png,#b1d415,8,905.335137,24.468517,1.101083,0.045000
z_0001_402.000000.png,#c9fa5f,4,279.036580,7.541529,0.339369,0.045000
z_0001_402.000000.png,#ed755c,6,500.516811,13.527481,0.608737,0.045000
z_0001_402.000000.png,#fcba03,2,235.923882,6.376321,0.286934,0.045000
z_0001_402.000000.png,#fcbf79,1,155.681241,4.207601,0.189342,0.045000
z_0002_403.002967.png,#374a29,1,140.367532,3.793717,0.170717,0.045000
z_0002_403.002967.png,#45818e,2,69.213203,1.870627,0.084178,0.045000
z_0002_403.002967.png,#47964c,2,122.811183,3.319221,0.149365,0.045000
z_0002_403.002967.png,#630024,1,91.012193,2.459789,0.110691,0.045000
z_0002_403.002967.png,#93a0c7,1,100.183766,2.707669,0.121845,0.045000
z_0002_403.002967.png,#a85e32,3,190.994949,5.162026,0.232291,0.045000
z_0002_403.002967.png,#b1d415,9,899.678282,24.315629,1.094203,0.045000
z_0002_403.002967.png,#c9fa5f,4,299.663997,8.099027,0.364456,0.045000
z_0002_403.002967.png,#ed755c,6,807.109740,21.813777,0.981620,0.045000
z_0002_403.002967.png,#fcba03,2,233.338095,6.306435,0.283790,0.045000
z_0002_403.002967.png,#fcbf79,1,154.610173,4.178653,0.188039,0.045000
z_0003_404.005935.png,#374a29,1,157.681241,4.261655,0.191774,0.045000
z_0003_404.005935.png,#45818e,1,82.284271,2.223899,0.100075,0.045000
z_0003_404.005935.png,#47964c,2,131.740115,3.560544,0.160224,0.045000
z_0003_404.005935.png,#630024,1,89.012193,2.405735,0.108258,0.045000
z_0003_404.005935.png,#93a0c7,1,105.840620,2.860557,0.128725,0.045000
z_0003_404.005935.png,#a85e32,3,184.509668,4.986748,0.224404,0.045000
z_0003_404.005935.png,#b1d415,9,863.050865,23.325699,1.049656,0.045000
z_0003_404.005935.png,#c9fa5f,4,288.249783,7.790535,0.350574,0.045000
z_0003_404.005935.png,#ed755c,6,729.896536,19.726933,0.887712,0.045000
z_0003_404.005935.png,#fcba03,2,226.066017,6.109892,0.274945,0.045000
z_0003_404.005935.png,#fcbf79,1,149.781746,4.048155,0.182167,0.045000
z_0004_405.008902.png,#374a29,1,167.923882,4.538483,0.204232,0.045000
z_0004_405.008902.png,#45818e,1,70.870058,1.915407,0.086193,0.045000
z_0004_405.008902.png,#47964c,2,128.568542,3.474825,0.156367,0.045000
z_0004_405.008902.png,#630024,1,89.497475,2.418851,0.108848,0.045000
z_0004_405.008902.png,#93a0c7,1,110.669048,2.991055,0.134597,0.045000
z_0004_405.008902.png,#a85e32,3,181.923882,4.916862,0.221259,0.045000
z_0004_405.008902.png,#b1d415,10,882.849855,23.860807,1.073736,0.045000
