color_hex,total_blob_count,total_perimeter_um,total_area_um2
#158a8a,238,513.422534,23.104014
#15d445,244,962.478567,43.311536
#374a29,595,1616.387673,72.737445
#45818e,1020,2092.896768,94.180355
#47964c,654,2407.328160,108.329767
#4cd4bb,196,433.386802,19.502406
#630024,601,1515.271100,68.187199
#85b066,364,553.709715,24.916937
#93a0c7,1070,3161.687188,142.275923
#a85e32,1846,5810.835629,261.487603
#afeda4,549,1280.784222,57.635290
#b1d415,1867,4755.360601,213.991227
#b6b0a8,525,1191.881102,53.634650
#c9fa5f,1042,2284.703187,102.811643
#ce24d4,342,1720.790945,77.435593
#d41515,218,618.006522,27.810294
#e8d9ff,324,817.975424,36.808894
#ed755c,1939,4989.908877,224.545899
#f0ed97,1116,3257.620857,146.592939
#fcba03,295,657.110106,29.569955
#fcbf79,539,1349.895988,60.745319
