color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#04800e,166.714792,0.040000,6.668592
#0c704f,144.875864,0.040000,5.795035
#195ba5,336.401754,0.040000,13.456070
#302e4d,49.059032,0.040000,1.962361
#3b9c36,100.391972,0.040000,4.015679
#40426e,43.431945,0.040000,1.737278
#42ddf5,169.762861,0.040000,6.790514
#48e85e,138.641592,0.040000,5.545664
#4cc7b6,83.396863,0.040000,3.335875
#61965c,398.096306,0.040000,15.923852
#74a865,97.041828,0.040000,3.881673
#7a0474,109.259909,0.040000,4.370396
#7b92a8,556.371226,0.040000,22.254849
#820079,86.750042,0.040000,3.470002
#88bbd1,254.327037,0.040000,10.173081
#8f82c4,378.010626,0.040000,15.120425
#91ff78,937.795750,0.040000,37.511830
#96645c,375.692697,0.040000,15.027708
#9ed3de,338.771294,0.040000,13.550852
#a347ff,157.040816,0.040000,6.281633
#b2a0fa,213.287401,0.040000,8.531496
#bbb477,267.610727,0.040000,10.704429
#c4809c,213.583404,0.040000,8.543336
#c9b7eb,161.874009,0.040000,6.474960
#ccebb2,958.166807,0.040000,38.326672
#cfcb80,258.175072,0.040000,10.327003
#d0dba7,284.753078,0.040000,11.390123
#d8e3a8,50.611908,0.040000,2.024476
#ebd234,95.818350,0.040000,3.832734
#f2cabf,239.806207,0.040000,9.592248
#ff270f,184.644965,0.040000,7.385799
#ff61e7,93.480688,0.040000,3.739228
#ff6ee9,1406.474279,0.040000,56.258971
#ff73a1,391.462810,0.040000,15.658512
#ffbe78,465.349637,0.040000,18.613985
#ffc978,429.633496,0.040000,17.185340
#ffcdbd,166.754259,0.040000,6.670170
