color_hex,total_blob_count,total_perimeter_um,total_area_um2
#04800e,316,181868.553996,7274.742160
#0c704f,298,546346.457516,21853.858301
#195ba5,1162,4298746.201820,171949.848073
#302e4d,131,188902.732818,7556.109313
#3b9c36,236,1082991.728961,43319.669158
#40426e,247,934961.115382,37398.444615
#42ddf5,389,691776.768499,27671.070740
#48e85e,430,1140162.959277,45606.518371
#4cc7b6,417,3950732.718436,158029.308737
#61965c,620,1079730.363840,43189.214554
#74a865,234,503540.549755,20141.621990
#7a0474,577,1801449.232959,72057.969318
#7b92a8,1003,1098826.440373,43953.057615
#820079,316,359219.335095,14368.773404
#88bbd1,665,548110.661710,21924.426468
#8f82c4,995,1603483.589295,64139.343572
#91ff78,1689,2544187.998058,101767.519922
#96645c,728,910764.765237,36430.590609
#9ed3de,397,158310.792893,6332.431716
#a347ff,364,560769.188353,22430.767534
#b2a0fa,642,1167465.396271,46698.615851
#bbb477,1011,2356397.092522,94255.883701
#c4809c,698,930235.563577,37209.422543
#c9b7eb,318,1129483.997552,45179.359902
#ccebb2,2078,5028445.565802,201137.822632
#cfcb80,547,678270.831092,27130.833244
#d0dba7,1110,3088551.624243,123542.064970
#d8e3a8,256,179388.235244,7175.529410
#ebd234,329,472435.830778,18897.433231
#f2cabf,563,1842573.098482,73702.923939
#ff270f,342,194384.069607,7775.362784
#ff61e7,283,157834.901804,6313.396072
#ff6ee9,2734,3820766.307640,152830.652306
#ff73a1,831,2298240.933931,91929.637357
#ffbe78,1823,4432675.621392,177307.024856
#ffc978,1306,3122584.016930,124903.360677
#ffcdbd,501,1996305.310333,79852.212413
