color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#ff6ee9,54.857296,285.537003,5.205087
#ccebb2,38.689053,215.506060,5.570208
#91ff78,36.685917,165.359385,4.507435
#7b92a8,24.357942,124.511277,5.111732
#ffbe78,18.113638,138.208044,7.630054
#cfcb80,16.895059,77.390050,4.580632
#ffc978,16.703230,111.617263,6.682376
#61965c,15.901430,79.984840,5.030041
#ff73a1,15.851869,92.478020,5.833887
#96645c,15.073085,79.665111,5.285256
#195ba5,14.907160,95.588842,6.412277
#8f82c4,14.639626,86.747150,5.925503
#9ed3de,13.254720,44.139481,3.330095
#88bbd1,11.540771,72.233953,6.259023
#d0dba7,11.123992,85.357477,7.673277
#f2cabf,10.899363,66.462999,6.097879
#bbb477,10.759581,81.921275,7.613798
#ff270f,9.612217,48.592404,5.055275
#c4809c,9.248367,59.867470,6.473302
#b2a0fa,8.837282,56.032210,6.340435
#ffcdbd,7.761452,51.492417,6.634379
#04800e,6.992934,36.323460,5.194309
#774d47,6.862375,46.180506,6.729522
#42ddf5,6.648171,42.211667,6.349365
#a347ff,6.608634,38.417939,5.813295
#c9b7eb,6.268443,38.348190,6.117658
#ebd234,5.974043,36.939215,6.183286
#0c704f,5.648127,31.387311,5.557118
#48e85e,5.383480,38.315761,7.117285
#7a0474,4.761158,41.382124,8.691609
#3b9c36,4.090880,26.662996,6.517668
#74a865,3.931450,26.598819,6.765651
#4cc7b6,3.696716,30.884540,8.354588
#ff61e7,3.671214,24.231650,6.600446
#820079,3.519804,27.955132,7.942241
#d8e3a8,1.972662,17.644977,8.944754
#302e4d,1.953094,12.857681,6.583237
#40426e,1.783159,15.592345,8.744226
#fcbf79,0.000080,0.005066,63.325000
