color_hex,total_blob_count,total_perimeter_um,total_area_um2
#04800e,325,908.086512,36.323460
#0c704f,298,784.682777,31.387311
#195ba5,1184,2389.721062,95.588842
#302e4d,152,321.442030,12.857681
#3b9c36,247,666.574901,26.662996
#40426e,249,389.808629,15.592345
#42ddf5,393,1055.291674,42.211667
#48e85e,431,957.894013,38.315761
#4cc7b6,458,772.113510,30.884540
#61965c,624,1999.621011,79.984840
#74a865,241,664.970472,26.598819
#774d47,548,1154.512654,46.180506
#7a0474,595,1034.553101,41.382124
#7b92a8,1084,3112.781916,124.511277
#820079,324,698.878309,27.955132
#88bbd1,714,1805.848816,72.233953
#8f82c4,993,2168.678761,86.747150
#91ff78,1684,4133.984620,165.359385
#96645c,735,1991.627775,79.665111
#9ed3de,410,1103.487025,44.139481
#a347ff,368,960.448475,38.417939
#b2a0fa,653,1400.805255,56.032210
#bbb477,1028,2048.031865,81.921275
#c4809c,712,1496.686760,59.867470
#c9b7eb,321,958.704748,38.348190
#ccebb2,2122,5387.651499,215.506060
#cfcb80,599,1934.751239,77.390050
#d0dba7,1109,2133.936937,85.357477
#d8e3a8,254,441.124433,17.644977
#ebd234,349,923.480364,36.939215
#f2cabf,653,1661.574965,66.462999
#fcbf79,1,0.126646,0.005066
#ff270f,406,1214.810098,48.592404
#ff61e7,282,605.791245,24.231650
#ff6ee9,2725,7138.425071,285.537003
#ff73a1,835,2311.950496,92.478020
#ffbe78,1817,3455.201109,138.208044
#ffc978,1302,2790.431580,111.617263
#ffcdbd,531,1287.310427,51.492417
