color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#a178ad,65.099433,346.777206,5.326885
#03fc5a,51.040250,256.642664,5.028241
#963521,33.164787,145.238265,4.379291
#756e50,29.723223,136.898819,4.605786
#39a389,29.587287,128.220384,4.333631
#b5c5eb,29.379981,159.745408,5.437220
#85150b,27.732207,134.046526,4.833605
#b5eda8,26.178346,154.501446,5.901880
#fcbf79,25.859135,144.523369,5.588871
#7a78ff,23.645543,137.655848,5.821640
#912773,14.715000,101.884489,6.923852
#93a0c7,12.493327,73.560382,5.887974
#3184de,12.475123,84.969933,6.811150
#a7e8c4,11.676437,61.592307,5.274923
#f0ed97,9.595250,67.963256,7.083010
#87ab52,9.248691,65.543050,7.086738
#34ebb1,6.611385,50.381789,7.620459
#8a4334,5.621555,29.182605,5.191198
#962c65,5.206815,33.480983,6.430223
#412c96,4.327146,25.863785,5.977100
#a11033,3.357944,28.694173,8.545161
#fbff00,0.123856,1.559960,12.594949
