color_hex,total_blob_count,total_perimeter_um,total_area_um2
#0ca76a,580,1655.087111,74.478920
#0f0a80,422,1414.574265,63.655842
#13ca98,416,1551.603474,69.822156
#1ab153,534,1856.596286,83.546833
#1fa2b1,2149,4394.657196,197.759574
#3afc69,690,1536.628897,69.148300
#473821,597,1604.579853,72.206093
#53281f,414,964.249545,43.391230
#588255,523,1186.428039,53.389262
#5ba53b,852,1767.849667,79.553235
#5f41ec,245,687.091024,30.919096
#64735a,488,1117.395828,50.282812
#665346,156,323.186312,14.543384
#6ce2d1,120,286.174346,12.877846
#70ad51,456,1676.062306,75.422804
#74bd9a,952,1885.421016,84.843946
#82a6de,308,749.427837,33.724253
#946c15,419,1195.612445,53.802560
#983986,217,746.904023,33.610681
#a17b6e,626,1341.324138,60.359586
#a8d11c,834,1814.229104,81.640310
#b6384c,1387,5289.443120,238.024940
#b6f82c,325,727.556001,32.740020
#d6c90f,952,1850.704904,83.281721
#e89f84,372,796.981982,35.864189
#f05486,397,1036.297797,46.633401
#fea3e5,297,823.052825,37.037377
