color_hex,total_volume_um3,total_area_um2,surface_area_to_volume_um_inv
#b6384c,51.489214,238.024940,4.622812
#1fa2b1,26.684830,197.759574,7.410936
#1ab153,20.825823,83.546833,4.011694
#0f0a80,19.249367,63.655842,3.306906
#70ad51,17.677695,75.422804,4.266552
#13ca98,15.010600,69.822156,4.651523
#0ca76a,14.433771,74.478920,5.160046
#473821,12.975790,72.206093,5.564678
#a8d11c,11.445939,81.640310,7.132688
#946c15,10.582826,53.802560,5.083950
#d6c90f,10.315490,83.281721,8.073462
#74bd9a,10.126101,84.843946,8.378738
#5ba53b,10.041646,79.553235,7.922330
#64735a,8.836024,50.282812,5.690660
#3afc69,8.695442,69.148300,7.952247
#a17b6e,7.965734,60.359586,7.577404
#588255,7.167696,53.389262,7.448595
#f05486,7.020175,46.633401,6.642769
#53281f,6.605127,43.391230,6.569326
#983986,6.535841,33.610681,5.142518
#fea3e5,6.222281,37.037377,5.952379
#b6f82c,5.448743,32.740020,6.008729
#5f41ec,5.394816,30.919096,5.731261
#82a6de,4.839281,33.724253,6.968856
#e89f84,4.481269,35.864189,8.003132
#6ce2d1,2.115867,12.877846,6.086321
#665346,2.066964,14.543384,7.036109
