color_hex,sum_cross_section_area_um2,slice_thickness_um,total_volume_um3
#0ca76a,320.750473,0.045000,14.433771
#0f0a80,427.763705,0.045000,19.249367
#13ca98,333.568880,0.045000,15.010600
#1ab153,462.796078,0.045000,20.825823
#1fa2b1,592.996219,0.045000,26.684830
#3afc69,193.232042,0.045000,8.695442
#473821,288.350898,0.045000,12.975790
#53281f,146.780600,0.045000,6.605127
#588255,159.282136,0.045000,7.167696
#5ba53b,223.147684,0.045000,10.041646
#5f41ec,119.884806,0.045000,5.394816
#64735a,196.356096,0.045000,8.836024
#665346,45.932538,0.045000,2.066964
#6ce2d1,47.019258,0.045000,2.115867
#70ad51,392.837665,0.045000,17.677695
#74bd9a,225.024457,0.045000,10.126101
#82a6de,107.539579,0.045000,4.839281
#946c15,235.173913,0.045000,10.582826
#983986,145.240903,0.045000,6.535841
#a17b6e,177.016304,0.045000,7.965734
#a8d11c,254.354206,0.045000,11.445939
#b6384c,1144.204750,0.045000,51.489214
#b6f82c,121.083176,0.045000,5.448743
#d6c90f,229.233105,0.045000,10.315490
#e89f84,99.583767,0.045000,4.481269
#f05486,156.003899,0.045000,7.020175
#fea3e5,138.272921,0.045000,6.222281
